Year,Month,Day,DayOfWeek,YearOfEra,DayOfYear,Open,High,Low,Close,AdjustedClose,Volume
2020,12,1,Tuesday,2020,336,121.01,123.47,120.01,122.72,121.4655,127728200
2020,12,2,Wednesday,2020,337,122.02,123.37,120.89,123.08,121.8218,89004200
2020,12,3,Thursday,2020,338,123.52,123.78,122.21,122.94,121.6832,78967600
2020,12,4,Friday,2020,339,122.6,122.86,121.52,122.25,121.0003,78260400
2020,12,7,Monday,2020,342,122.31,124.57,122.25,123.75,122.4849,86712000
2020,12,8,Tuesday,2020,343,124.37,124.98,123.09,124.38,123.1085,82225500
2020,12,9,Wednesday,2020,344,124.53,125.95,121,121.78,120.5351,115089200
2020,12,10,Thursday,2020,345,120.5,123.87,120.15,123.24,121.9802,81312200
2020,12,11,Friday,2020,346,122.43,122.76,120.55,122.41,121.1586,86939800
2020,12,14,Monday,2020,349,122.6,123.35,121.54,121.78,120.5351,79184500
2020,12,15,Tuesday,2020,350,124.34,127.9,124.13,127.88,126.5727,157243700
2020,12,16,Wednesday,2020,351,127.41,128.37,126.56,127.81,126.5034,98208600
2020,12,17,Thursday,2020,352,128.9,129.58,128.04,128.7,127.3843,94359800
2020,12,18,Friday,2020,353,128.96,129.1,126.12,126.66,125.3652,192541500
2020,12,21,Monday,2020,356,125.02,128.31,123.45,128.23,126.9191,121251600
2020,12,22,Tuesday,2020,357,131.61,134.41,129.65,131.88,130.5318,168904800
2020,12,23,Wednesday,2020,358,132.16,132.43,130.78,130.96,129.6212,88223700
2020,12,24,Thursday,2020,359,131.32,133.46,131.1,131.97,130.6209,54930100
2020,12,28,Monday,2020,363,133.99,137.34,133.51,136.69,135.2927,124486200
2020,12,29,Tuesday,2020,364,138.05,138.79,134.34,134.87,133.4913,121047300
2020,12,30,Wednesday,2020,365,135.58,135.99,133.4,133.72,132.353,96452100
2020,12,31,Thursday,2020,366,134.08,134.74,131.72,132.69,131.3335,99116600
2021,1,4,Monday,2021,4,133.52,133.61,126.76,129.41,128.0871,143301900
2021,1,5,Tuesday,2021,5,128.89,131.74,128.43,131.01,129.6707,97664900
2021,1,6,Wednesday,2021,6,127.72,131.05,126.38,126.6,125.3058,155088000
2021,1,7,Thursday,2021,7,128.36,131.63,127.86,130.92,129.5816,109578200
2021,1,8,Friday,2021,8,132.43,132.63,130.23,132.05,130.7001,105158200
2021,1,11,Monday,2021,11,129.19,130.17,128.5,128.98,127.6615,100384500
2021,1,12,Tuesday,2021,12,128.5,129.69,126.86,128.8,127.4833,91951100
2021,1,13,Wednesday,2021,13,128.76,131.45,128.49,130.89,129.5519,88636800
2021,1,14,Thursday,2021,14,130.8,131,128.76,128.91,127.5922,90221800
2021,1,15,Friday,2021,15,128.78,130.22,127,127.14,125.8403,111598500
2021,1,19,Tuesday,2021,19,127.78,128.71,126.94,127.83,126.5232,90757300
2021,1,20,Wednesday,2021,20,128.66,132.49,128.55,132.03,130.6803,104319500
2021,1,21,Thursday,2021,21,133.8,139.67,133.59,136.87,135.4708,120150900
2021,1,22,Friday,2021,22,136.28,139.85,135.02,139.07,137.6483,114459400
2021,1,25,Monday,2021,25,143.07,145.09,136.54,142.92,141.459,157611700
2021,1,26,Tuesday,2021,26,143.6,144.3,141.37,143.16,141.6965,98390600
2021,1,27,Wednesday,2021,27,143.43,144.3,140.41,142.06,140.6078,140843800
