Year,Month,Day,DayOfWeek,YearOfEra,DayOfYear,Open,High,Low,Close,AdjustedClose,Volume
2020,12,1,Tuesday,2020,336,118.4512,120.2964,117.6673,117.7438,108.0799,5553319
2020,12,2,Wednesday,2020,337,117.4474,119.1587,117.0268,119.1396,109.3611,3860472
2020,12,3,Thursday,2020,338,118.6998,119.369,117.8681,118.174,108.4748,4757417
2020,12,4,Friday,2020,339,118.5182,121.7782,118.2027,121.6061,111.6252,5776849
2020,12,7,Monday,2020,342,120.9273,121.3862,119.0918,119.2161,109.4313,8701151
2020,12,8,Tuesday,2020,343,119.8088,120.7744,119.1587,120.1816,110.3176,5643170
2020,12,9,Wednesday,2020,344,120.2677,122.0746,120.1721,121.2141,111.2654,6813121
2020,12,10,Thursday,2020,345,120.7935,121.348,119.4455,119.4646,109.6595,5024147
2020,12,11,Friday,2020,346,118.6233,119.9904,118.174,118.805,109.054,4687544
2020,12,14,Monday,2020,349,119.8088,120.6883,118.0402,118.0975,108.4046,5282300
2020,12,15,Tuesday,2020,350,118.9197,120.392,118.0115,120.392,110.5107,4556585
2020,12,16,Wednesday,2020,351,120.392,121.0038,119.7801,120.0287,110.1772,4738485
2020,12,17,Thursday,2020,352,120.5354,120.5449,119.4168,120.0287,110.1772,3962248
2020,12,18,Friday,2020,353,120.0669,120.8413,119.4742,120.3155,110.4405,7900229
2020,12,21,Monday,2020,356,118.5182,118.7189,116.3671,117.9637,108.2817,6397022
2020,12,22,Tuesday,2020,357,117.8872,118.7572,117.0268,118.174,108.4748,4535561
2020,12,23,Wednesday,2020,358,118.4321,119.7036,118.2983,118.4512,108.7293,2817819
2020,12,24,Thursday,2020,359,119.5029,119.5985,118.7476,119.2065,109.4225,1842111
2020,12,28,Monday,2020,363,119.5985,121.0325,118.9866,119.3308,109.5366,3781499
2020,12,29,Tuesday,2020,364,119.8375,119.9618,117.8203,118.3556,108.6415,3647402
2020,12,30,Wednesday,2020,365,118.3556,119.3595,118.1931,118.8719,109.1154,3535794
2020,12,31,Thursday,2020,366,118.7572,120.4876,118.5373,120.3442,110.4668,3738822
2021,1,4,Monday,2021,4,120.3155,120.3824,117.6291,118.4895,108.7644,5417443
2021,1,5,Tuesday,2021,5,119.5124,121.109,119.13,120.5927,110.695,6395872
2021,1,6,Wednesday,2021,6,121.3193,126.0803,121.1472,123.6042,113.4593,8322708
2021,1,7,Thursday,2021,7,124.3212,124.7228,122.6195,123.3174,113.196,4714740
2021,1,8,Friday,2021,8,122.9159,123.6329,121.3958,122.8776,112.7924,4891305
2021,1,11,Monday,2021,11,122.3231,123.9771,122.0459,122.9254,112.8362,5859587
2021,1,12,Tuesday,2021,12,123.413,124.1396,122.3136,123.5277,113.3891,3921663
2021,1,13,Wednesday,2021,13,123.4704,124.044,120.8987,121.3384,111.3795,8030874
2021,1,14,Thursday,2021,14,122.3901,124.4359,121.9407,123.2983,113.1785,7848347
2021,1,15,Friday,2021,15,122.6386,123.5564,122.0554,122.7438,112.6695,5131153
2021,1,19,Tuesday,2021,19,123.5946,123.891,122.457,123.3461,113.2224,5646308
2021,1,20,Wednesday,2021,20,123.9962,125.2964,122.9063,124.3595,114.1526,5856240
2021,1,21,Thursday,2021,21,124.3977,126.4245,124.3308,125.8604,115.5303,13116003
2021,1,22,Friday,2021,22,115.392,115.392,112.1989,113.3939,104.087,39814421
2021,1,25,Monday,2021,25,113.5373,114.283,112.2849,113.3652,104.0607,14315974
2021,1,26,Tuesday,2021,26,113.9388,117.1989,113.2122,117.1032,107.4919,11186656
2021,1,27,Wednesday,2021,27,116.7113,119.3021,116.2715,117.0841,107.4744,12705239
2021,1,28,Thursday,2021,28,117.3996,117.782,114.7897,114.7992,105.377,8455969
2021,1,29,Friday,2021,29,114.9331,115.9656,113.6711,113.8719,104.5258,12369473
2021,2,1,Monday,2021,32,114.6272,115.631,113.5086,115.239,105.7807,6538023
2021,2,2,Tuesday,2021,33,114.1109,115.6788,114.0344,114.1874,104.8154,6633627
2021,2,3,Wednesday,2021,34,113.805,114.5315,112.9254,113.8815,104.5346,7024308
2021,2,4,Thursday,2021,35,114.6367,115.7744,113.6424,115.6979,106.2019,4771957
2021,2,5,Friday,2021,36,115.6788,116.4532,115.2199,116.434,106.8776,4775722
2021,2,8,Monday,2021,39,117.2275,118.5277,117.0172,118.174,108.4748,6158848
2021,2,9,Tuesday,2021,40,116.5392,117.2084,115.7266,116.7304,108.5815,4933982
2021,2,10,Wednesday,2021,41,117.6195,117.9828,115.8795,116.8642,108.706,5090673
2021,2,11,Thursday,2021,42,116.6348,116.8356,115.325,115.5927,107.5233,5629154
2021,2,12,Friday,2021,43,115.6788,116.0229,114.8088,115.4876,107.4254,4049275
2021,2,16,Tuesday,2021,47,114.8662,115.2964,114.1109,114.7897,106.7762,6945231
2021,2,17,Wednesday,2021,48,114.0249,115.2581,113.7859,114.6941,106.6873,4141219
2021,2,18,Thursday,2021,49,115.2008,115.6214,114.4359,115.4206,107.3632,5646413
2021,2,19,Friday,2021,50,115.4398,115.4493,113.174,113.7572,105.8158,6881320
2021,2,22,Monday,2021,53,113.2887,115.8031,113.2314,115.5449,107.4788,6149643
2021,2,23,Tuesday,2021,54,115.6023,116.0134,114.5315,115.4015,107.3454,4739740
2021,2,24,Wednesday,2021,55,115.4876,118.0593,115.2199,117.7916,109.5686,6087720
2021,2,25,Thursday,2021,56,117.9446,118.8815,116.9598,117.0841,108.9105,5953623
2021,2,26,Friday,2021,57,116.8738,116.8738,113.652,113.6998,105.7625,9467346
2021,3,1,Monday,2021,60,115.0574,116.9407,114.5889,115.4302,107.3721,5977367
2021,3,2,Tuesday,2021,61,115.4302,116.5392,114.9713,115.0382,107.0075,4732418
2021,3,3,Wednesday,2021,62,115.2008,117.2371,114.7036,116.979,108.8127,7744898
2021,3,4,Thursday,2021,63,116.6348,117.8011,113.5373,114.8279,106.8118,8439651
2021,3,5,Friday,2021,64,115.3346,118.3078,114.9618,117.4283,109.2307,7268968
2021,3,8,Monday,2021,67,117.5813,121.2715,117.4761,119.3212,110.9915,7572203
2021,3,9,Tuesday,2021,68,119.8853,120.87,118.6998,118.7189,110.4312,5867014
2021,3,10,Wednesday,2021,69,119.5507,122.6004,119.13,122.2467,113.7127,7581199
2021,3,11,Thursday,2021,70,122.457,122.9828,121.2046,121.5488,113.0635,5383657
2021,3,12,Friday,2021,71,121.5966,122.065,121.0421,121.9981,113.4815,4194565
2021,3,15,Monday,2021,74,122.1511,123.088,121.9312,122.9254,114.3441,3577948
2021,3,16,Tuesday,2021,75,122.6386,122.8681,121.74,122.6004,114.0417,4867247
2021,3,17,Wednesday,2021,76,122.8107,123.7954,121.8834,123.3556,114.7442,4488804
2021,3,18,Thursday,2021,77,123.2696,125.239,122.1702,124.3403,115.6602,6104142
2021,3,19,Friday,2021,78,124.3021,124.7036,122.8776,123.2314,114.6286,10297870
2021,3,22,Monday,2021,81,122.8489,124.9713,122.2658,124.8088,116.0959,4356485
2021,3,23,Tuesday,2021,82,124.7036,125.7744,124.0918,124.7228,116.0159,4556794
2021,3,24,Wednesday,2021,83,125.1912,126.3002,124.8279,124.8757,116.1582,4189230
2021,3,25,Thursday,2021,84,124.5985,127.3805,124.0631,127.218,118.3369,5809484
2021,3,26,Friday,2021,85,127.4283,130.478,127.2658,130.3824,121.2805,5823710
2021,3,29,Monday,2021,88,130,131.0421,129.5507,129.8853,120.818,4835344
2021,3,30,Tuesday,2021,89,129.8853,130.2773,128.1262,128.7954,119.8043,5010758
2021,3,31,Wednesday,2021,90,128.6233,128.7859,126.8738,127.3996,118.5059,5172575
2021,4,1,Thursday,2021,91,127.8776,128.0401,126.4532,127.3709,118.4792,4261404
2021,4,5,Monday,2021,95,127.7629,130.6788,127.5335,129.9522,120.8803,5722980
2021,4,6,Tuesday,2021,96,129.6176,129.675,128.1931,128.3174,119.3596,3787566
2021,4,7,Wednesday,2021,97,127.9541,129.0057,127.8968,128.9962,119.991,3112896
2021,4,8,Thursday,2021,98,128.652,129.6654,128.26,129.1778,120.16,4275211
2021,4,9,Friday,2021,99,128.9388,129.7706,128.7859,129.761,120.7024,3162999
2021,4,12,Monday,2021,102,129.0822,129.4168,127.9637,128.6711,119.6887,3926684
2021,4,13,Tuesday,2021,103,127.1511,127.7438,124.6463,125.4111,116.6562,8403041
2021,4,14,Wednesday,2021,104,125.5354,126.9407,124.7801,126.7973,117.9457,6137928
2021,4,15,Thursday,2021,105,127.4187,127.9828,126.4054,126.7495,117.9012,4062664
2021,4,16,Friday,2021,106,127.1511,128.2027,127.1032,127.7151,118.7994,5535223
2021,4,19,Monday,2021,109,127.7247,127.935,126.7495,127.2658,118.3814,8575736
2021,4,20,Tuesday,2021,110,131.0421,133.6233,130.6883,132.0841,122.8634,16192708
2021,4,21,Wednesday,2021,111,131.9885,137.4092,131.6539,137.2371,127.6566,12456814
2021,4,22,Thursday,2021,112,137.3805,138.3748,134.7992,135.0669,125.638,7428064
2021,4,23,Friday,2021,113,135.0956,137.2944,134.7514,136.1664,126.6606,4765576
2021,4,26,Monday,2021,116,136.1568,137.3136,135.2581,135.3442,125.8959,4927497
2021,4,27,Tuesday,2021,117,135.4589,136.2906,134.5602,135.7648,126.2871,4062664
2021,4,28,Wednesday,2021,118,136.6348,137.0937,135.8509,136.7113,127.1675,3941433
2021,4,29,Thursday,2021,119,137.7916,142.1989,136.6922,137.8967,128.2702,4554179
2021,4,30,Friday,2021,120,137.3805,137.5048,134.369,135.6405,126.1715,9280321
2021,5,3,Monday,2021,123,137.4857,139.3403,137.2371,138.3843,128.7238,5997241
